SYMBOL,NAME OF COMPANY, SERIES
LIBAS,Libas Consumer Products Limited,EQ
LIBERTSHOE,Liberty Shoes Limited,EQ
LICHSGFIN,LIC Housing Finance Limited,EQ
LICI,Life Insurance Corporation Of India,EQ
LIKHITHA,Likhitha Infrastructure Limited,EQ
LINC,Linc Limited,EQ
LINCOLN,Lincoln Pharmaceuticals Limited,EQ
LINDEINDIA,Linde India Limited,EQ
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,EQ
LLOYDSENT,Lloyds Enterprises Limited,EQ
LLOYDSME,Lloyds Metals And Energy Limited,EQ
LMW,LMW Limited,EQ
LODHA,Lodha Developers Limited,EQ
LOKESHMACH,Lokesh Machines Limited,EQ
LORDSCHLO,Lords Chloro Alkali Limited,EQ
LOTUSDEV,Sri Lotus Developers and Realty Limited,EQ
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ
LOVABLE,Lovable Lingerie Limited,EQ
LOYALTEX,Loyal Textile Mills Limited,BE
LPDC,Landmark Property Development Company Limited,EQ
LT,Larsen & Toubro Limited,EQ
LTF,L&T Finance Limited,EQ
LTFOODS,LT Foods Limited,EQ
LTIM,LTIMindtree Limited,EQ
LTTS,L&T Technology Services Limited,EQ
LUMAXIND,Lumax Industries Limited,EQ
LUMAXTECH,Lumax Auto Technologies Limited,EQ
LUPIN,Lupin Limited,EQ
LUXIND,Lux Industries Limited,EQ
LXCHEM,Laxmi Organic Industries Limited,EQ
LYKALABS,Lyka Labs Limited,EQ
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ
M&M,Mahindra & Mahindra Limited,EQ
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ
MAANALU,Maan Aluminium Limited,BE
MACPOWER,Macpower CNC Machines Limited,EQ
MADHAV,Madhav Marbles and Granites Limited,EQ
MADHUCON,Madhucon Projects Limited,EQ
MADRASFERT,Madras Fertilizers Limited,EQ
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ
MAGNUM,Magnum Ventures Limited,EQ
MAHABANK,Bank of Maharashtra,EQ
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,EQ
MAHASTEEL,Mahamaya Steel Industries Limited,BE
MAHEPC,Mahindra EPC Irrigation Limited,EQ
MAHESHWARI,Maheshwari Logistics Limited,EQ
MAHLIFE,Mahindra Lifespace Developers Limited,EQ
MAHLOG,Mahindra Logistics Limited,EQ
MAHSCOOTER,Maharashtra Scooters Limited,EQ
MAHSEAMLES,Maharashtra Seamless Limited,EQ
MAITHANALL,Maithan Alloys Limited,EQ
MALLCOM,Mallcom (India) Limited,EQ
MALUPAPER,Malu Paper Mills Limited,EQ
MAMATA,Mamata Machinery Limited,EQ
MANAKALUCO,Manaksia Aluminium Company Limited,BE
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ
MANAKSIA,Manaksia Limited,EQ
MANAKSTEEL,Manaksia Steels Limited,EQ
MANALIPETC,Manali Petrochemicals Limited,EQ
MANAPPURAM,Manappuram Finance Limited,EQ
MANBA,Manba Finance Limited,EQ
MANCREDIT,Mangal Credit and Fincorp Limited,EQ
MANGALAM,Mangalam Drugs And Organics Limited,BE
MANGLMCEM,Mangalam Cement Limited,EQ
MANINDS,Man Industries (India) Limited,EQ
MANINFRA,Man Infraconstruction Limited,EQ
MANKIND,Mankind Pharma Limited,EQ
MANOMAY,Manomay Tex India Limited,BE
MANORAMA,Manorama Industries Limited,EQ
MANORG,Mangalam Organics Limited,EQ
MANUGRAPH,Manugraph India Limited,EQ
MANYAVAR,Vedant Fashions Limited,EQ
MAPMYINDIA,C.E. Info Systems Limited,EQ
MARALOVER,Maral Overseas Limited,EQ
MARATHON,Marathon Nextgen Realty Limited,EQ
MARICO,Marico Limited,EQ
MARINE,Marine Electricals (India) Limited,EQ
MARKOLINES,Markolines Pavement Technologies Limited,EQ
MARKSANS,Marksans Pharma Limited,EQ
MARUTI,Maruti Suzuki India Limited,EQ
MASFIN,MAS Financial Services Limited,EQ
MASKINVEST,Mask Investments Limited,EQ
MASTEK,Mastek Limited,EQ
MASTERTR,Master Trust Limited,EQ
MATRIMONY,Matrimony.Com Limited,EQ
MAWANASUG,Mawana Sugars Limited,EQ
MAXESTATES,Max Estates Limited,EQ
MAXHEALTH,Max Healthcare Institute Limited,EQ
MAXIND,Max India Limited,EQ
MAYURUNIQ,Mayur Uniquoters Ltd,EQ
MAZDA,Mazda Limited,EQ
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ
MBAPL,Madhya Bharat Agro Products Limited,EQ
MBEL,M & B Engineering Limited,EQ
MBLINFRA,MBL Infrastructure Limited,EQ
MCL,Madhav Copper Limited,BE
MCLEODRUSS,Mcleod Russel India Limited,EQ
MCLOUD,Magellanic Cloud Limited,EQ
MCX,Multi Commodity Exchange of India Limited,EQ
MEDANTA,Global Health Limited,EQ
MEDIASSIST,Medi Assist Healthcare Services Limited,EQ
MEDICAMEQ,Medicamen Biotech Limited,EQ
MEDICO,Medico Remedies Limited,EQ
MEDPLUS,Medplus Health Services Limited,EQ
MEESHO,Meesho Limited,EQ
MEGASTAR,Megastar Foods Limited,BE
MEIL,Mangal Electrical Industries Limited,EQ
MENONBE,Menon Bearings Limited,EQ
MEP,MEP Infrastructure Developers Limited,BZ
METROBRAND,Metro Brands Limited,EQ
METROPOLIS,Metropolis Healthcare Limited,EQ
MFML,Mahalaxmi Fabric Mills Limited,EQ
MFSL,Max Financial Services Limited,EQ
MGEL,Mangalam Global Enterprise Limited,EQ
MGL,Mahanagar Gas Limited,EQ
MHLXMIRU,Mahalaxmi Rubtech Limited,EQ
MHRIL,Mahindra Holidays & Resorts India Limited,EQ
MICEL,MIC Electronics Limited,EQ
MIDHANI,Mishra Dhatu Nigam Limited,EQ
MIDWESTLTD,Midwest Limited,EQ
MINDACORP,Minda Corporation Limited,EQ
MINDTECK,Mindteck (India) Limited,EQ
MIRCELECTR,MIRC Electronics Limited,EQ
MIRZAINT,Mirza International Limited,EQ
MITCON,MITCON Consultancy & Engineering Services Limited,EQ
MITTAL,Mittal Life Style Limited,EQ
MKPL,M K Proteins Limited,EQ
MMFL,MM Forgings Limited,EQ
MMP,MMP Industries Limited,EQ
MMTC,MMTC Limited,EQ
MOBIKWIK,One Mobikwik Systems Limited,EQ
MODINATUR,Modi Naturals Limited,EQ
MODIRUBBER,Modi Rubber Limited,EQ
MODIS,Modis Navnirman Limited,EQ
MODISONLTD,MODISON LIMITED,EQ
MODTHREAD,Modern Threads (India) Limited,EQ
MOHITIND,Mohit Industries Limited,EQ
MOIL,MOIL Limited,EQ
MOKSH,Moksh Ornaments Limited,EQ
MOL,Meghmani Organics Limited,EQ
MOLDTECH,Mold-Tek Technologies Limited,EQ
MOLDTKPAC,Mold-Tek Packaging Limited,EQ
MONARCH,Monarch Networth Capital Limited,EQ
MONEYBOXX,Moneyboxx Finance Limited,EQ
MONTECARLO,Monte Carlo Fashions Limited,EQ
MORARJEE,Morarjee Textiles Limited,BZ
MOREPENLAB,Morepen Laboratories Limited,EQ
MOSCHIP,Moschip Technologies Limited,EQ
MOTHERSON,Samvardhana Motherson International Limited,EQ
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ
MOTISONS,Motisons Jewellers Limited,EQ
MOTOGENFIN,The Motor & General Finance Limited,EQ
MPHASIS,MphasiS Limited,EQ
MPSLTD,MPS Limited,EQ
MRF,MRF Limited,EQ
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ
MSPL,MSP Steel & Power Limited,EQ
MSTCLTD,Mstc Limited,EQ
MSUMI,Motherson Sumi Wiring India Limited,EQ
MTARTECH,Mtar Technologies Limited,EQ
MTEDUCARE,MT Educare Limited,BE
MTNL,Mahanagar Telephone Nigam Limited,EQ
MUFIN,Mufin Green Finance Limited,EQ
MUFTI,Credo Brands Marketing Limited,EQ
MUKANDLTD,Mukand Limited,EQ
MUKKA,Mukka Proteins Limited,EQ
MUKTAARTS,Mukta Arts Limited,EQ
MUNJALAU,Munjal Auto Industries Limited,EQ
MUNJALSHOW,Munjal Showa Limited,EQ
MURUDCERA,Murudeshwar Ceramics Limited,EQ
MUTHOOTCAP,Muthoot Capital Services Limited,EQ
MUTHOOTFIN,Muthoot Finance Limited,EQ
MUTHOOTMF,Muthoot Microfin Limited,EQ
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,EQ
MWL,Mangalam Worldwide Limited,EQ
NACLIND,NACL Industries Limited,EQ
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,EQ
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ
NAGREEKEXP,Nagreeka Exports Limited,EQ
NAHARCAP,Nahar Capital and Financial Services Limited,EQ
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ
NAHARPOLY,Nahar Poly Films Limited,EQ
NAHARSPING,Nahar Spinning Mills Limited,EQ
NAM-INDIA,Nippon Life India Asset Management Limited,EQ
NARMADA,Narmada Agrobase Limited,EQ
NATCAPSUQ,Natural Capsules Limited,EQ
NATCOPHARM,Natco Pharma Limited,EQ
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ
NATIONALUM,National Aluminium Company Limited,EQ
NAUKRI,Info Edge (India) Limited,EQ
NAVA,NAVA LIMITED,EQ
NAVINFLUOR,Navin Fluorine International Limited,EQ
NAVKARCORP,Navkar Corporation Limited,EQ
NAVKARURB,Navkar Urbanstructure Limited,BE
NAVNETEDUL,Navneet Education Limited,EQ
NAZARA,Nazara Technologies Limited,EQ
NBCC,NBCC (India) Limited,EQ
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ
NCC,NCC Limited,EQ
NCLIND,NCL Industries Limited,EQ
NDGL,Naga Dhunseri Group Limited,EQ
NDL,Nandan Denim Limited,EQ
NDLVENTURE,NDL Ventures Limited,EQ
NDRAUTO,Ndr Auto Components Limited,EQ
NDTV,New Delhi Television Limited,EQ
NECCLTD,North Eastern Carrying Corporation Limited,EQ
NECLIFE,Nectar Lifesciences Limited,BE
NELCAST,Nelcast Limited,EQ
NELCO,NELCO Limited,EQ
NEOGEN,Neogen Chemicals Limited,EQ
NEPHROPLUS,Nephrocare Health Services Limited,EQ
NESCO,Nesco Limited,EQ
NESTLEIND,Nestle India Limited,EQ
NETWEB,Netweb Technologies India Limited,EQ
NETWORK18,Network18 Media & Investments Limited,EQ
NEUEON,Neueon Corporation Limited,BE
NEULANDLAB,Neuland Laboratories Limited,EQ
NEWGEN,Newgen Software Technologies Limited,EQ
NEXTMEDIA,Next Mediaworks Limited,EQ
NFL,National Fertilizers Limited,EQ
NGIL,Nakoda Group of Industries Limited,EQ
NGLFINE,NGL Fine-Chem Limited,EQ
NH,Narayana Hrudayalaya Ltd.,EQ
NHPC,NHPC Limited,EQ
NIACL,The New India Assurance Company Limited,EQ
NIBE,NIBE Limited,EQ
NIBL,NRB Industrial Bearings Limited,EQ
NIITLTD,NIIT Limited,EQ
NIITMTS,NIIT Learning Systems Limited,EQ
NILAINFRA,Nila Infrastructures Limited,EQ
NILASPACES,Nila Spaces Limited,EQ
NILKAMAL,Nilkamal Limited,EQ
NINSYS,NINtec Systems Limited,EQ
NIPPOBATRY,Indo-National Limited,EQ
NIRAJ,Niraj Cement Structurals Limited,EQ
NIRAJISPAT,Niraj Ispat Industries Limited,BE
NITCO,Nitco Limited,EQ
NITINSPIN,Nitin Spinners Limited,EQ
NITIRAJ,Nitiraj Engineers Limited,EQ
NIVABUPA,Niva Bupa Health Insurance Company Limited,EQ
NKIND,NK Industries Limited,EQ
NLCINDIA,NLC India Limited,EQ
NMDC,NMDC Limited,EQ
NOCIL,NOCIL Limited,EQ
NOIDATOLL,Noida Toll Bridge Company Limited,EQ
NORBTEAEXP,Norben Tea & Exports Limited,BE
NORTHARC,Northern Arc Capital Limited,EQ
NOVAAGRI,Nova Agritech Limited,EQ
NPST,Network People Services Technologies Limited,EQ
NRAIL,N R Agarwal Industries Limited,EQ
NRBBEARING,NRB Bearing Limited,EQ
NRL,Nupur Recyclers Limited,EQ
NSIL,Nalwa Sons Investments Limited,EQ
NSLNISP,NMDC Steel Limited,EQ
NTPC,NTPC Limited,EQ
NTPCGREEN,NTPC Green Energy Limited,EQ
NUCLEUS,Nucleus Software Exports Limited,EQ
NURECA,Nureca Limited,EQ
NUVAMA,Nuvama Wealth Management Limited,EQ
NUVOCO,Nuvoco Vistas Corporation Limited,EQ
NYKAA,FSN E-Commerce Ventures Limited,EQ
OAL,Oriental Aromatics Limited,EQ
OBCL,Orissa Bengal Carrier Limited,EQ
OBEROIRLTY,Oberoi Realty Limited,EQ
OCCLLTD,OCCL Limited,EQ
ODIGMA,Odigma Consultancy Solutions Limited,EQ
OFSS,Oracle Financial Services Software Limited,EQ
OIL,Oil India Limited,EQ
OILCOUNTUB,Oil Country Tubular Limited,EQ
OLAELEC,Ola Electric Mobility Limited,EQ
OLECTRA,Olectra Greentech Limited,EQ
OMAXAUTO,Omax Autos Limited,EQ
OMAXE,Omaxe Limited,EQ
OMFREIGHT,Om Freight Forwarders Limited,EQ
OMINFRAL,OM INFRA LIMITED,EQ
OMKARCHEM,Omkar Speciality Chemicals Limited,BZ
ONELIFECAP,Onelife Capital Advisors Limited,BE
ONEPOINT,One Point One Solutions Limited,EQ
ONESOURCE,Onesource Specialty Pharma Limited,EQ
ONGC,Oil & Natural Gas Corporation Limited,EQ
ONMOBILE,OnMobile Global Limited,EQ
ONWARDTEC,Onward Technologies Limited,EQ
OPTIEMUS,Optiemus Infracom Limited,EQ
ORBTEXP,Orbit Exports Limited,EQ
ORCHASP,Orchasp Limited,EQ
ORCHPHARMA,Orchid Pharma Limited,EQ
ORICONENT,Oricon Enterprises Limited,BE
ORIENTALTL,Oriental Trimex Limited,EQ
ORIENTBELL,Orient Bell Limited,EQ
ORIENTCEM,Orient Cement Limited,EQ
ORIENTCER,ORIENT CERATECH LIMITED,EQ
ORIENTELEC,Orient Electric Limited,EQ
ORIENTHOT,Oriental Hotels Limited,EQ
ORIENTLTD,Orient Press Limited,EQ
ORIENTPPR,Orient Paper & Industries Limited,EQ
ORIENTTECH,Orient Technologies Limited,EQ
ORISSAMINE,The Orissa Minerals Development Company Limited,EQ
ORKLAINDIA,Orkla India Limited,EQ
ORTEL,Ortel Communications Limited,BZ
ORTINGLOBE,ORTIN GLOBAL LIMITED,BE
OSIAHYPER,Osia Hyper Retail Limited,EQ
OSWALAGRO,Oswal Agro Mills Limited,EQ
OSWALGREEN,Oswal Greentech Limited,EQ
OSWALPUMPS,Oswal Pumps Limited,EQ
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,EQ
PACEDIGITK,Pace Digitek Limited,EQ
PAGEIND,Page Industries Limited,EQ
PAISALO,Paisalo Digital Limited,EQ
PAKKA,PAKKA LIMITED,EQ
PALASHSECU,Palash Securities Limited,EQ
PALREDTEC,Palred Technologies Limited,EQ
PANACEABIO,Panacea Biotec Limited,EQ
PANACHE,Panache Digilife Limited,EQ
PANAMAPET,Panama Petrochem Limited,EQ
PANSARI,Pansari Developers Limited,BE
PAR,Par Drugs And Chemicals Limited,EQ
PARACABLES,Paramount Communications Limited,EQ
PARADEEP,Paradeep Phosphates Limited,EQ
PARAGMILK,Parag Milk Foods Limited,EQ
PARAS,Paras Defence and Space Technologies Limited,EQ
PARASPETRO,Paras Petrofils Limited,BE
PARKHOSPS,Park Medi World Limited,EQ
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,EQ
PARSVNATH,Parsvnath Developers Limited,EQ
PASHUPATI,Pashupati Cotspin Limited,EQ
PASUPTAC,Pasupati Acrylon Limited,EQ
PATANJALI,Patanjali Foods Limited,EQ
PATELENG,Patel Engineering Limited,EQ
PATELRMART,Patel Retail Limited,EQ
PATINTLOG,Patel Integrated Logistics Limited,EQ
PAUSHAKLTD,Paushak Limited,EQ
PAVNAIND,Pavna Industries Limited,EQ
PAYTM,One 97 Communications Limited,EQ
PCBL,PCBL Chemical Limited,EQ
PCJEWELLER,PC Jeweller Limited,EQ
PDMJEPAPER,Pudumjee Paper Products Limited,EQ
PDSL,PDS Limited,EQ
PEARLPOLY,Pearl Polymers Limited,EQ
PENIND,Pennar Industries Limited,EQ
PENINLAND,Peninsula Land Limited,EQ
PERSISTENT,Persistent Systems Limited,EQ
PETRONET,Petronet LNG Limited,EQ
PFC,Power Finance Corporation Limited,EQ
PFIZER,Pfizer Limited,EQ
PFOCUS,Prime Focus Limited,EQ
PFS,PTC India Financial Services Limited,EQ
PGEL,PG Electroplast Limited,EQ
PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ
PGHL,Procter & Gamble Health Limited,EQ
PGIL,Pearl Global Industries Limited,EQ
PHOENIXLTD,The Phoenix Mills Limited,EQ
PICCADIL,Piccadily Agro Industries Limited,EQ
PIDILITIND,Pidilite Industries Limited,EQ
PIGL,Power & Instrumentation (Gujarat) Limited,EQ
PIIND,PI Industries Limited,EQ
PILANIINVS,Pilani Investment and Industries Corporation Limited,EQ
PILITA,PIL ITALICA LIFESTYLE LIMITED,EQ
PINELABS,Pine Labs Limited,EQ
PIONEEREMB,Pioneer Embroideries Limited,EQ
PIRAMALFIN,Piramal Finance Limited,EQ
PITTIENG,Pitti Engineering Limited,EQ
PIXTRANS,Pix Transmissions Limited,EQ
PKTEA,The Peria Karamalai Tea & Produce Company Limited,EQ
PLASTIBLEN,Plastiblends India Limited,EQ
PLATIND,Platinum Industries Limited,EQ
PLAZACABLE,Plaza Wires Limited,EQ
PNB,Punjab National Bank,EQ
PNBGILTS,PNB Gilts Limited,EQ
PNBHOUSING,PNB Housing Finance Limited,EQ
PNC,Pritish Nandy Communications Limited,EQ
PNCINFRA,PNC Infratech Limited,EQ
PNGJL,P N Gadgil Jewellers Limited,EQ
POCL,Pondy Oxides & Chemicals Limited,EQ
PODDARMENT,Poddar Pigments Limited,EQ
POKARNA,Pokarna Limited,EQ
POLICYBZR,PB Fintech Limited,EQ
POLYCAB,Polycab India Limited,EQ
POLYMED,Poly Medicure Limited,EQ
POLYPLEX,Polyplex Corporation Limited,EQ
PONNIERODE,Ponni Sugars (Erode) Limited,EQ
POONAWALLA,Poonawalla Fincorp Limited,EQ
POWERGRID,Power Grid Corporation of India Limited,EQ
POWERINDIA,Hitachi Energy India Limited,EQ
POWERMECH,Power Mech Projects Limited,EQ
PPAP,PPAP Automotive Limited,EQ
PPL,Prakash Pipes Limited,EQ
PPLPHARMA,Piramal Pharma Limited,EQ
PRABHA,Prabha Energy Limited,EQ
PRAENG,Prajay Engineers Syndicate Limited,EQ
PRAJIND,Praj Industries Limited,EQ
PRAKASH,Prakash Industries Limited,EQ
PRAKASHSTL,Prakash Steelage Limited,BE
PRAXIS,Praxis Home Retail Limited,EQ
PRECAM,Precision Camshafts Limited,EQ
PRECOT,Precot Limited,BE
PRECWIRE,Precision Wires India Limited,EQ
PREMEXPLN,Premier Explosives Limited,EQ
PREMIER,Premier Limited,BE
PREMIERENE,Premier Energies Limited,EQ
PREMIERPOL,Premier Polyfilm Limited,EQ
PRESTIGE,Prestige Estates Projects Limited,EQ
PRICOLLTD,Pricol Limited,EQ
PRIMESECU,Prime Securities Limited,EQ
PRIMO,Primo Chemicals Limited,EQ
PRINCEPIPE,Prince Pipes And Fittings Limited,EQ
PRITI,Priti International Limited,EQ
PRITIKAUTO,Pritika Auto Industries Limited,EQ
PRIVISCL,Privi Speciality Chemicals Limited,EQ
PROSTARM,Prostarm Info Systems Limited,EQ
PROTEAN,Protean eGov Technologies Limited,EQ
PROZONER,Prozone Realty Limited,EQ
PRSMJOHNSN,Prism Johnson Limited,EQ
PRUDENT,Prudent Corporate Advisory Services Limited,EQ
PRUDMOULI,Prudential Sugar Corporation Limited,EQ
PSB,Punjab & Sind Bank,EQ
PSPPROJECT,PSP Projects Limited,EQ
PTC,PTC India Limited,EQ
PTCIL,PTC Industries Limited,EQ
PTL,PTL Enterprises Limited,EQ
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ
PURVA,Puravankara Limited,EQ
PVP,PVP Ventures Limited,EQ
PVRINOX,PVR INOX Limited,EQ
PVSL,Popular Vehicles and Services Limited,EQ
PWL,Physicswallah Limited,EQ
PYRAMID,Pyramid Technoplast Limited,EQ
QPOWER,Quality Power Electrical Equipments Limited,EQ
QUADFUTURE,Quadrant Future Tek Limited,EQ
QUESS,Quess Corp Limited,EQ
QUICKHEAL,Quick Heal Technologies Limited,EQ
QUINTEGRA,Quintegra Solutions Limited,BE
RACE,Race Eco Chain Limited,EQ
RACLGEAR,RACL Geartech Limited,EQ
RADAAN,Radaan Mediaworks India Limited,EQ
RADHIKAJWE,Radhika Jeweltech Limited,EQ
RADIANTCMS,Radiant Cash Management Services Limited,EQ
RADICO,Radico Khaitan Limited,EQ
RADIOCITY,Music Broadcast Limited,EQ
RAILTEL,Railtel Corporation Of India Limited,EQ
RAIN,Rain Industries Limited,EQ
RAINBOW,Rainbow Childrens Medicare Limited,EQ
RAJESHEXPO,Rajesh Exports Limited,BZ
RAJMET,Rajnandini Metal Limited,EQ
RAJOOENG,Rajoo Engineers Limited,EQ
RAJRATAN,Rajratan Global Wire Limited,EQ
RAJRILTD,Raj Rayon Industries Limited,BE
RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ
RAJTV,Raj Television Network Limited,EQ
RAJVIR,Rajvir Industries Limited,BZ
RALLIS,Rallis India Limited,EQ
RAMANEWS,Shree Rama Newsprint Limited,EQ
RAMAPHO,Rama Phosphates Limited,EQ
RAMASTEEL,Rama Steel Tubes Limited,EQ
RAMCOCEM,The Ramco Cements Limited,EQ
RAMCOIND,Ramco Industries Limited,EQ
RAMCOSYS,Ramco Systems Limited,EQ
RAMKY,Ramky Infrastructure Limited,EQ
RAMRAT,Ram Ratna Wires Limited,EQ
RANASUG,Rana Sugars Limited,EQ
RANEHOLDIN,Rane Holdings Limited,EQ
RATEGAIN,Rategain Travel Technologies Limited,EQ
RATNAMANI,Ratnamani Metals & Tubes Limited,EQ
RATNAVEER,Ratnaveer Precision Engineering Limited,EQ
RAYMOND,Raymond Limited,EQ
RAYMONDLSL,Raymond Lifestyle Limited,EQ
RAYMONDREL,Raymond Realty Limited,EQ
RBA,Restaurant Brands Asia Limited,EQ
RBLBANK,RBL Bank Limited,EQ
RBZJEWEL,RBZ Jewellers Limited,EQ
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ
RCOM,Reliance Communications Limited,BE
RECLTD,REC Limited,EQ
REDINGTON,Redington Limited,EQ
REDTAPE,Redtape Limited,EQ
REFEX,Refex Industries Limited,EQ
REGAAL,Regaal Resources Limited,EQ
REGENCERAM,Regency Ceramics Limited,EQ
RELAXO,Relaxo Footwears Limited,EQ
RELCHEMQ,Reliance Chemotex Industries Limited,EQ
RELIABLE,Reliable Data Services Limited,BE
RELIANCE,Reliance Industries Limited,EQ
RELIGARE,Religare Enterprises Limited,EQ
RELINFRA,Reliance Infrastructure Limited,BE
RELTD,Ravindra Energy Limited,EQ
REMSONSIND,Remsons Industries Limited,EQ
RENUKA,Shree Renuka Sugars Limited,EQ
REPCOHOME,Repco Home Finance Limited,EQ
REPL,Rudrabhishek Enterprises Limited,EQ
REPRO,Repro India Limited,EQ
RESPONIND,Responsive Industries Limited,EQ
RETAIL,JHS Svendgaard Retail Ventures Limited,EQ
RGL,Renaissance Global Limited,EQ
RHETAN,Rhetan TMT Limited,EQ
RHFL,Reliance Home Finance Limited,BZ
RHIM,RHI MAGNESITA INDIA LIMITED,EQ
RHL,Robust Hotels Limited,EQ
RICOAUTO,Rico Auto Industries Limited,EQ
RIIL,Reliance Industrial Infrastructure Limited,EQ
RISHABH,Rishabh Instruments Limited,EQ
RITCO,Ritco Logistics Limited,EQ
RITES,RITES Limited,EQ
RKDL,Ravi Kumar Distilleries Limited,EQ
RKEC,RKEC Projects Limited,EQ
RKFORGE,Ramkrishna Forgings Limited,EQ
RKSWAMY,R K Swamy Limited,EQ
RMDRIP,R M Drip and Sprinklers Systems Limited,EQ
RML,Rane (Madras) Limited,EQ
RNBDENIMS,R&B Denims Limited,EQ
ROHLTD,Royal Orchid Hotels Limited,EQ
ROLEXRINGS,Rolex Rings Limited,EQ
ROLLT,Rollatainers Limited,BE
ROML,Raj Oil Mills Limited,EQ
ROSSARI,Rossari Biotech Limited,EQ
ROSSELLIND,Rossell India Limited,EQ
ROSSTECH,Rossell Techsys Limited,EQ
ROTO,Roto Pumps Limited,EQ
ROUTE,ROUTE MOBILE LIMITED,EQ
RPEL,Raghav Productivity Enhancers Limited,EQ
RPGLIFE,RPG Life Sciences Limited,EQ
RPOWER,Reliance Power Limited,EQ
RPPINFRA,R.P.P. Infra Projects Limited,EQ
RPPL,Rajshree Polypack Limited,EQ
RPSGVENT,RPSG VENTURES LIMITED,EQ
RPTECH,Rashi Peripherals Limited,EQ
RRKABEL,R R Kabel Limited,EQ
RSSOFTWARE,R. S. Software (India) Limited,EQ
RSWM,RSWM Limited,EQ
RSYSTEMS,R Systems International Limited,EQ
RTNINDIA,RattanIndia Enterprises Limited,EQ
RTNPOWER,RattanIndia Power Limited,EQ
RUBFILA,Rubfila International Limited,EQ
RUBICON,Rubicon Research Limited,EQ
RUBYMILLS,The Ruby Mills Limited,EQ
RUCHINFRA,Ruchi Infrastructure Limited,EQ
RUCHIRA,Ruchira Papers Limited,EQ
RUDRA,Rudra Global Infra Products Limited,EQ
RUPA,Rupa & Company Limited,EQ
RUSHIL,Rushil Decor Limited,EQ
RUSTOMJEE,Keystone Realtors Limited,EQ
RVHL,Ravinder Heights Limited,EQ
RVNL,Rail Vikas Nigam Limited,EQ
RVTH,Revathi Equipment India Limited,EQ
S&SPOWER,S&S Power Switchgears Limited,EQ
SAATVIKGL,Saatvik Green Energy Limited,EQ
SABEVENTS,Sab Events & Governance Now Media Limited,BE
SADBHAV,Sadbhav Engineering Limited,EQ
SADBHIN,Sadbhav Infrastructure Project Limited,EQ
SADHNANIQ,Sadhana Nitrochem Limited,EQ
SAFARI,Safari Industries (India) Limited,EQ
SAGARDEEP,Sagardeep Alloys Limited,EQ
SAGCEM,Sagar Cements Limited,EQ
SAGILITY,SAGILITY LIMITED,EQ
SAHYADRI,Sahyadri Industries Limited,EQ
SAIL,Steel Authority of India Limited,EQ
SAILIFE,Sai Life Sciences Limited,EQ
SAKAR,Sakar Healthcare Limited,EQ
SAKHTISUG,Sakthi Sugars Limited,EQ
SAKSOFT,Saksoft Limited,EQ
SAKUMA,Sakuma Exports Limited,EQ
SALASAR,Salasar Techno Engineering Limited,EQ
SALONA,Salona Cotspin Limited,EQ
SALSTEEL,S.A.L. Steel Limited,BE
SALZERELEC,Salzer Electronics Limited,EQ
SAMBHAAV,Sambhaav Media Limited,BE
SAMBHV,Sambhv Steel Tubes Limited,EQ
SAMHI,Samhi Hotels Limited,EQ
SAMMAANCAP,Sammaan Capital Limited,EQ
SAMPANN,Sampann Utpadan India Limited,EQ
SANATHAN,Sanathan Textiles Limited,EQ
SANCO,Sanco Industries Limited,BZ
SANDESH,The Sandesh Limited,EQ
SANDHAR,Sandhar Technologies Limited,EQ
SANDUMA,Sandur Manganese & Iron Ores Limited,EQ
SANGAMIND,Sangam (India) Limited,EQ
SANGHIIND,Sanghi Industries Limited,EQ
SANGHVIMOV,Sanghvi Movers Limited,EQ
SANGINITA,Sanginita Chemicals Limited,EQ
SANOFI,Sanofi India Limited,EQ
SANOFICONR,Sanofi Consumer Healthcare India Limited,EQ
SANSERA,Sansera Engineering Limited,EQ
SANSTAR,Sanstar Limited,EQ
SANWARIA,Sanwaria Consumer Limited,BZ
SAPPHIRE,Sapphire Foods India Limited,EQ
SARDAEN,Sarda Energy & Minerals Limited,EQ
SAREGAMA,Saregama India Limited,EQ
